link,image,title,seviye,like,ogrenci
/portal/course/pytorch-ile-derin-ogrenme-algoritmalari-44053,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/27b7f76b-d1da-472c-bd6a-c5b64ae460fd/339_0x220.jpg?t=1741247142655,PyTorch ile Derin Öğrenme Algoritmaları,İleri Seviye,3,28
/portal/course/react-js-ileri-seviye-44054,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/98b85eea-3a0f-4618-ac44-db3c09155715/362_0x220.jpg?t=1741248308498,React Js İleri Seviye,İleri Seviye,9,298
/portal/course/flutter-ile-mobil-uygulama-gelistirme-44006,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/2ac08940-4997-4a7a-b39d-be755b400f41/365_0x220.png?t=1740988459237,Flutter ile Mobil Uygulama Geliştirme,Orta Seviye,22,1.4K
/portal/course/yazilim-gelistirme-araclari-43724,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/f7a550ab-e4af-4290-ae73-04560bafc531/116_0x220.png?t=1740552142641,Yazılım Geliştirme Araçları,Orta Seviye,28,1.4K
/portal/course/unity-oyun-gelistirme-motoru-43399,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/571764ed-7386-47eb-9139-bb82157512b6/413_0x220.png?t=1738760008782,Unity Oyun Geliştirme Motoru,Orta Seviye,57,2.4K
/portal/course/uygulamali-spss-43317,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/da385422-9f5d-4e07-bc9b-ffe0d303b18a/102_0x220.png?t=1737980853717,Uygulamalı SPSS,Orta Seviye,53,2.6K
/portal/course/jetpack-compose-ile-android-mobil-uygulama-gelistirme-42681,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/f9c046cc-547e-42b7-b362-94cf5dcf3fb1/276.2_0x220.png?t=1737723840689,Jetpack Compose ile Android Mobil Uygulam...,İleri Seviye,22,1K
/portal/course/react-js-39531,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/13369fcc-6120-4079-9c61-e3f20cc3734a/361.1_0x220.png?t=1742985762666,React JS,Orta Seviye,68,2.5K
/portal/course/dogal-dil-isleme-40852,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/c2ffc2dd-6a1e-4000-ac4a-03aef1c406e9/410_0x220.png?t=1734953584252,Doğal Dil İşleme,İleri Seviye,84,2.8K
/portal/course/stm32-ile-gomulu-yazilim-gelistirme-35649,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/19182a45-0493-4a5f-b179-02ef231c1805/258_0x220.png?t=1732014029490,STM32 ile Gömülü Yazılım Geliştirme,Temel Seviye,145,5.7K
/portal/course/veri-bilimine-giris-35390,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/8b699d67-f950-4ff7-834f-9ea98d464105/391_0x220.png?t=1728030396861,Veri Bilimine Giriş,Temel Seviye,137,11.4K
/portal/course/kubernetes-35490,https://assets-btkakademi-gov-tr.akamaized.net/api/gallery/51/30958c38-0887-4a29-8668-5d15e16bc888/343_0x220.png?t=1728894443848,Kubernetes,Orta Seviye,25,2.5K
